,Taxa
0,1.1608
1,1.1569
2,1.1578
3,1.1443
4,1.1448
5,1.1428
6,1.1414
7,1.1444
8,1.1375
9,1.1329
10,1.1276
11,1.1342
12,1.1286
13,1.1290
14,1.1325
15,1.1224
16,1.1286
17,1.1200
18,1.1198
19,1.1284
20,1.1213
21,1.1200
22,1.1280
23,1.1318
24,1.1213
25,1.1210
26,1.1222
27,1.1232
28,1.1308
29,1.1253
30,1.1304
31,1.1348
32,1.1375
33,1.1294
34,1.1285
35,1.1330
36,1.1250
37,1.1194
38,1.1174
39,1.1116
40,1.1136
41,1.1016
42,1.0991
43,1.0975
44,1.0910
45,1.0904
46,1.1000
47,1.0958
48,1.0950
49,1.0832
50,1.0798
51,1.0792
52,1.0875
53,1.0858
54,1.0824
55,1.0843
56,1.0783
57,1.0807
58,1.0843
59,1.0942
60,1.0876
61,1.0842
62,1.0877
63,1.0852
64,1.0800
65,1.0772
66,1.0867
67,1.0837
68,1.0860
69,1.0860
70,1.0888
71,1.0903
72,1.0963
73,1.0867
74,1.0871
75,1.0885
76,1.0791
77,1.0785
78,1.0906
79,1.0936
80,1.0956
81,1.1034
82,1.0977
83,1.0981
84,1.0827
85,1.0843
86,1.0783
87,1.0707
88,1.0801
89,1.0934
90,1.0982
91,1.1157
92,1.1104
93,1.1240
94,1.1336
95,1.1390
96,1.1456
97,1.1336
98,1.1187
99,1.1125
100,1.1117
101,1.1122
102,1.0977
103,1.0964
104,1.0875
105,1.0840
106,1.0818
107,1.0801
108,1.0790
109,1.0800
110,1.0816
111,1.0835
112,1.0842
113,1.0867
114,1.0914
115,1.0901
116,1.0951
117,1.0969
118,1.1003
119,1.1023
120,1.1048
121,1.1066
122,1.1052
123,1.1029
124,1.1001
125,1.1005
126,1.1025
127,1.1035
128,1.1091
129,1.1088
130,1.1115
131,1.1085
132,1.1108
133,1.1169
134,1.1142
135,1.1115
136,1.1126
137,1.1091
138,1.1110
139,1.1115
140,1.1172
141,1.1194
142,1.1147
143,1.1193
144,1.1234
145,1.1189
146,1.1153
147,1.1080
148,1.1075
149,1.1097
150,1.1117
151,1.1115
152,1.1162
153,1.1146
154,1.1174
155,1.1137
156,1.1075
157,1.1077
158,1.1075
159,1.1094
160,1.1094
161,1.1081
162,1.1071
163,1.1023
164,1.0982
165,1.1005
166,1.1009
167,1.1020
168,1.1008
169,1.1058
170,1.1091
171,1.1059
172,1.1077
173,1.1061
174,1.1034
175,1.0997
176,1.1006
177,1.1015
178,1.1041
179,1.1034
180,1.1077
181,1.1090
182,1.1109
183,1.1158
184,1.1139
185,1.1154
186,1.1106
187,1.1095
188,1.1087
189,1.1107
190,1.1128
191,1.1123
192,1.1130
193,1.1173
194,1.1144
195,1.1113
196,1.1025
197,1.1007
198,1.1031
199,1.1043
200,1.1030
201,1.0981
202,1.0986
203,1.0993
204,1.0979
205,1.0951
206,1.0925
207,1.0898
208,1.0889
209,1.0935
210,1.0938
211,1.0982
212,1.1003
213,1.0985
214,1.1030
215,1.1067
216,1.1053
217,1.1026
218,1.1031
219,1.1096
220,1.0963
221,1.1003
222,1.1040
223,1.1033
224,1.1027
225,1.1058
226,1.1018
227,1.0937
228,1.0968
229,1.1036
230,1.1072
231,1.1083
232,1.1104
233,1.1116
234,1.1065
235,1.1083
236,1.1104
237,1.1076
238,1.1103
239,1.1076
240,1.1150
241,1.1188
242,1.1222
243,1.1194
244,1.1198
245,1.1193
246,1.1202
247,1.1187
248,1.1182
249,1.1106
250,1.1037
251,1.1151
252,1.1154
253,1.1119
254,1.1138
255,1.1115
256,1.1140
257,1.1173
258,1.1215
259,1.1226
260,1.1216
261,1.1215
262,1.1223
263,1.1269
264,1.1253
265,1.1285
266,1.1220
267,1.1205
268,1.1215
269,1.1260
270,1.1288
271,1.1293
272,1.1301
273,1.1349
274,1.1380
275,1.1370
276,1.1362
277,1.1388
278,1.1394
279,1.1316
280,1.1307
281,1.1207
282,1.1187
283,1.1234
284,1.1265
285,1.1289
286,1.1323
287,1.1320
288,1.1301
289,1.1273
290,1.1266
291,1.1257
292,1.1244
293,1.1185
294,1.1151
295,1.1134
296,1.1156
297,1.1192
298,1.1198
299,1.1187
300,1.1139
301,1.1171
302,1.1161
303,1.1167
304,1.1172
305,1.1203
306,1.1183
307,1.1226
308,1.1245
309,1.1230
310,1.1193
311,1.1202
312,1.1185
313,1.1199
314,1.1155
315,1.1212
316,1.1218
317,1.1150
318,1.1133
319,1.1123
320,1.1209
321,1.1245
322,1.1250
323,1.1301
324,1.1305
325,1.1313
326,1.1321
327,1.1264
328,1.1279
329,1.1277
330,1.1246
331,1.1233
332,1.1219
333,1.1243
334,1.1200
335,1.1236
336,1.1235
337,1.1218
338,1.1261
339,1.1291
340,1.1325
341,1.1302
342,1.1387
343,1.1354
344,1.1358
345,1.1349
346,1.1308
347,1.1295
348,1.1303
349,1.1275
350,1.1244
351,1.1222
352,1.1271
353,1.1305
354,1.1329
355,1.1337
356,1.1383
357,1.1416
358,1.1386
359,1.1361
360,1.1355
361,1.1325
362,1.1354
363,1.1342
364,1.1294
365,1.1328
366,1.1260
367,1.1268
368,1.1305
369,1.1296
370,1.1309
371,1.1346
372,1.1345
373,1.1394
374,1.1423
375,1.1445
376,1.1471
377,1.1488
378,1.1429
379,1.1422
380,1.1418
381,1.1346
382,1.1341
383,1.1367
384,1.1354
385,1.1362
386,1.1402
387,1.1396
388,1.1389
389,1.1424
390,1.1467
391,1.1533
392,1.1535
393,1.1455
394,1.1440
395,1.1445
396,1.1403
397,1.1348
398,1.1397
399,1.1450
400,1.1454
401,1.1377
402,1.1408
403,1.1414
404,1.1451
405,1.1405
406,1.1377
407,1.1341
408,1.1285
409,1.1371
410,1.1346
411,1.1379
412,1.1425
413,1.1371
414,1.1351
415,1.1354
416,1.1409
417,1.1332
418,1.1359
419,1.1387
420,1.1284
421,1.1328
422,1.1363
423,1.1352
424,1.1403
425,1.1409
426,1.1421
427,1.1427
428,1.1346
429,1.1305
430,1.1296
431,1.1261
432,1.1265
433,1.1346
434,1.1424
435,1.1487
436,1.1428
437,1.1370
438,1.1417
439,1.1393
440,1.1318
441,1.1372
442,1.1381
